_id,fermi_name , Counterpart_name , RA, Dec  , LII , BII , AngSep , Theta95 , Class , Redshift , SED_Class , Probability_Bayesian , Reliability_LR_RG , Reliability_LR_XG , ProbabilityLogN-logS , LR_RG , LR_XG , Flux1GeV-100 GeV , Spectral_index , Spectral_Index_Error , TS , Radio_flux , X_Flux , USNOVmag , SDSSVmag , ARO , AOX , CLEAN , IN 2FGL
266 , 2FGLJ0526.1-4829 , PKS 0524-485 , 81.56875 , -48.5105 , 254.99 , -33.76 , 0.031 , 0.073 , FSRQ , 1.3 , LSP , 0.999 , 0.98 , 0.88 , 1 , 2.831 , 2.103 , (14.8+/-1.8) e-10 , 2.203 , 0.085 , 167 , 376 , 2.58e-13 , 19.84 , - , 0.799 , 1.062 , YES , YES
267 , 2FGLJ0525.5-6011 , SUMSS J052542-601341 , 81.42542 , -60.22831 , 269.1 , -33.88 , 0.036 , 0.144 , AGU , -999 , HSP , 0 , 0.86 , 0.87 , 0 , 1.144 , 2.031 , (4.5+/-1.1) e-10 , 1.898 , 0.195 , 33 , 20 , 7.36e-13 , 19.86 , - , 0.49 , 0.977 , YES , YES
268 , 2FGLJ0529.2+0935 , GB6 J0529+0934 , 82.26042 , 9.57567 , 194.57 , -13.47 , 0.045 , 0.095 , AGU , -999 , HSP , 0 , 0.95 , 0.99 , 0 , 1.03 , 4.312 , (8.9+/-1.7) e-10 , 2.448 , 0.123 , 56 , 30 , 2.15e-11 , 18.83 , - , 0.38 , 0.788 , NO , YES
269 , 2FGLJ0530.8-0517 , PMN J0529-0519 , 82.47292 , -5.32828 , 208.3 , -20.56 , 0.234 , 0.236 , FSRQ , 0.685 , - , 0.909 , 0.91 , 0 , 0.99 , 0.428 , -9.9 , (9.1+/-2.3) e-10 , 2.302 , 0.387 , 43 , 103 , - , 20.15 , - , 0.695 , - , NO , YES
270 , 2FGLJ0530.8+1333 , PKS 0528+134 , 82.735 , 13.532 , 191.36 , -11.02 , 0.03 , 0.09 , FSRQ , 2.07 , LSP , 0.999 , 1 , 0.98 , 1 , 3.601 , 3.373 , (25.7+/-2.9) e-10 , 2.218 , 0.092 , 432 , 1556 , 3.75e-12 , 19.68 , - , 0.811 , 0.849 , YES , YES
271 , 2FGLJ0533.0+4823 , TXS 0529+483 , 83.31583 , 48.38131 , 162.16 , 8.23 , 0.039 , 0.058 , FSRQ , 1.16 , LSP , 0.999 , 0.99 , 0.95 , 1 , 2.831 , 2.792 , (28.8+/-2.4) e-10 , 2.309 , 0.049 , 400 , 434 , 1.08e-12 , 19.18 , - , 0.665 , 1.164 , NO , YES
272 , 2FGLJ0532.7+0733 , OG 050 , 83.1625 , 7.54539 , 196.84 , -13.74 , 0.029 , 0.049 , FSRQ , 1.254 , LSP , 1 , 1 , 0 , 1 , 4.408 , -9.9 , (41.2+/-2.8) e-10 , 2.312 , 0.042 , 735 , 2729 , 3.29e-13 , 18.38 , - , 0.779 , 1.386 , YES , YES
273 , 2FGLJ0531.8-3831 , PMN J0532-3848 , 83.00875 , -38.81539 , 243.75 , -31.42 , 0.3 , 0.18 , FSRQ , 1.315 , - , 0 , 0.84 , 0 , 0.84 , -0.105 , -9.9 , (4.5+/-1.1) e-10 , 2.607 , 0.151 , 38 , 168 , - , 19.15 , - , 0.684 , - , NO , YES
274 , 2FGLJ0532.0-4826 , PMN J0531-4827 , 82.99333 , -48.46033 , 255.02 , -32.82 , 0.02 , 0.045 , AGU , -999 , LSP , 0.997 , 0.98 , 0.87 , 1 , 2.839 , 2.063 , (30.1+/-2.3) e-10 , 2.132 , 0.054 , 551 , 158 , 1.64e-13 , 20.11 , - , 0.705 , 1.191 , YES , YES
275 , 2FGLJ0532.5-7223 , PMN J0533-7216 , 83.43417 , -72.27303 , 283.22 , -31.64 , 0.149 , 0.151 , AGU , -999 , - , 0.96 , 0.88 , 0 , 0.91 , 1.306 , -9.9 , (4.2+/-1.2) e-10 , 2.549 , 0.189 , 29 , 149 , - , 18.07 , - , - , - , YES , YES
276 , 2FGLJ0536.2-3348 , 1RXS J053629.4-334302 , 84.12125 , -33.71736 , 238.22 , -29.41 , 0.108 , 0.06 , BL Lac , 0 , HSP , 0 , 0.89 , 0.93 , 0 , 0.306 , 2.501 , (20.8+/-1.9) e-10 , 2.391 , 0.056 , 508 , 94 , 9.41e-12 , 16.95 , - , 0.417 , 1.035 , YES , YES
277 , 2FGLJ0540.4+5822 , GB6 J0540+5823 , 85.12458 , 58.39428 , 153.93 , 14.25 , 0.015 , 0.06 , AGU , -999 , HSP , 0 , 0.97 , 0.99 , 0.99 , 1.518 , 4.515 , (8.4+/-1.6) e-10 , 1.843 , 0.131 , 74 , 29 , 1.34e-11 , 17.22 , - , 0.278 , 1.085 , YES , YES
278 , 2FGLJ0538.5-3909 , 1RXS 053810.0-390839 , 84.54292 , -39.14558 , 244.4 , -30.32 , 0.067 , 0.088 , AGU , -999 , HSP , 0 , 0.94 , 0.93 , 0 , 0.811 , 2.568 , (6.1+/-1.3) e-10 , 2.181 , 0.15 , 53 , 24 , 1.5e-12 , 18.23 , - , 0.389 , 1.17 , YES , YES
279 , 2FGLJ0537.7-5716 , SUMSS J053748-571828 , 84.45292 , -57.30803 , 265.56 , -32.39 , 0.035 , 0.102 , AGU , -999 , ISP , 0 , 0.94 , 0 , 0 , 1.959 , 1.602 , (3.9+/-1.2) e-10 , 1.73 , 0.214 , 34 , 99 , 2.39e-13 , 17.57 , - , 0.438 , 1.53 , YES , YES
280 , 2FGLJ0538.8-4405 , PKS 0537-441 , 84.70875 , -44.08608 , 250.08 , -31.1 , 0.003 , 0.013 , BL Lac , 0.892 , LSP , 1 , 1 , 0 , 1 , 5.996 , -9.9 , (371+/-6.8) e-10 , 2.012 , 0.016 , 27252 , 3728 , 3.29e-12 , 15.86 , - , 0.625 , 1.31 , YES , YES
281 , 2FGLJ0539.3-2841 , PKS 0537-286 , 84.97625 , -28.66561 , 232.93 , -27.3 , 0.118 , 0.137 , FSRQ , 3.104 , LSP , 0.995 , 0.99 , 0.88 , 1 , 2.428 , 2.081 , (6.1+/-1.2) e-10 , 2.825 , 0.1 , 153 , 862 , 1.46e-12 , 19.33 , - , 0.83 , 0.827 , YES , YES
282 , 2FGLJ0540.4-5415 , PKS 0539-543 , 85.18875 , -54.30483 , 262.04 , -31.87 , 0.07 , 0.138 , FSRQ , 1.186 , - , 0.995 , 0.96 , 0 , 1 , 2.252 , 1.494 , (7.9+/-1.4) e-10 , 2.566 , 0.101 , 98 , 386 , 6.71e-13 , - , - , - , - , YES , YES
283 , 2FGLJ0531.8-8324 , PKS 0541-834 , 83.40292 , -83.40944 , 295.81 , -29.15 , 0.05 , 0.09 , FSRQ , 0.774 , - , 0.999 , 0.94 , 0 , 1 , 1.901 , -9.9 , (13.2+/-1.8) e-10 , 2.154 , 0.088 , 113 , 84 , - , 20.64 , - , 0.725 , - , YES , YES
284 , 2FGLJ0543.9-5532 , 1RXS J054357.3-553206 , 85.98667 , -55.53442 , 263.51 , -31.48 , 0.003 , 0.04 , BL Lac , 0 , HSP , 1 , 0.97 , 1 , 0 , 2.53 , 4.972 , (19.4+/-2) e-10 , 1.74 , 0.077 , 331 , 41 , 1.5e-11 , 16.33 , - , 0.259 , 1.04 , YES , YES
285 , 2FGLJ0558.2-3837 , EXO 0556.4-3838 , 89.525 , -38.64156 , 244.86 , -26.43 , 0.031 , 0.104 , BL Lac , 0.302 , HSP , 0.999 , 0.98 , 0.99 , 0.83 , 1.659 , 4.099 , (7+/-1.3) e-10 , 2.255 , 0.15 , 65 , 105 , 1.51e-11 , 16.28 , - , 0.345 , 1.059 , YES , YES
286 , 2FGLJ0602.3+5315 , GB6 J0601+5315 , 90.50125 , 53.26672 , 160.06 , 14.56 , 0.054 , 0.129 , AGU , -999 , HSP , 0 , 0.94 , 0.98 , 0.86 , 0.887 , 3.689 , (6.3+/-1.5) e-10 , 1.753 , 0.174 , 51 , 39 , 1.14e-11 , 12.95 , - , -0.026 , 1.746 , YES , YES
287 , 2FGLJ0558.7-7501 , PKS 0600-749 , 89.69208 , -74.98506 , 286.07 , -29.54 , 0.046 , 0.115 , BL Lac , 0 , - , 0.998 , 0.96 , 0 , 0.98 , 2.216 , -9.9 , (7.4+/-1.4) e-10 , 2.087 , 0.141 , 53 , 234 , - , 17.37 , - , 0.548 , - , YES , YES
288 , 2FGLJ0601.1-7037 , PKS 0601-70 , 90.29542 , -70.60258 , 281.03 , -29.64 , 0.021 , 0.05 , FSRQ , 2.409 , - , 1 , 0.98 , 0 , 0.99 , 2.882 , -9.9 , (36.1+/-2.5) e-10 , 2.116 , 0.067 , 809 , 212 , 4.38e-13 , - , - , - , - , YES , YES
289 , 2FGLJ0605.0+0001 , GB6 J0604+0000 , 91.24333 , 0.01194 , 207.56 , -10.32 , 0.025 , 0.081 , AGU , -999 , - , 0 , 0.96 , 0 , 0 , 1.295 , -9.9 , (6.3+/-1.7) e-10 , 1.895 , 0.183 , 33 , 35 , - , 16.63 , - , - , - , YES , YES
290 , 2FGLJ0604.2-4817 , 1ES 0602-482 , 91.03583 , -48.28989 , 255.69 , -27.51 , 0.013 , 0.066 , AGU , -999 , HSP , 0 , 0.95 , 0.99 , 0 , 1.995 , 3.891 , (6.7+/-1.4) e-10 , 1.817 , 0.151 , 71 , 32 , 5.19e-12 , 17 , - , 0.297 , 1.104 , YES , YES
291 , 2FGLJ0607.4+4739 , TXS 0603+476 , 91.84667 , 47.66308 , 165.62 , 12.86 , 0.016 , 0.056 , BL Lac , 0 , ISP , 1 , 0.99 , 0 , 1 , 2.965 , -9.9 , (22.3+/-2) e-10 , 2.051 , 0.063 , 304 , 380 , 3.96e-13 , 17.05 , - , 0.459 , 1.664 , YES , YES
292 , 2FGLJ0608.0-0836 , PKS 0605-08 , 91.99875 , -8.58064 , 215.75 , -13.53 , 0.034 , 0.065 , FSRQ , 0.87 , LSP , 1 , 1 , 0.95 , 1 , 3.933 , 2.808 , (17.8+/-2.2) e-10 , 2.358 , 0.077 , 149 , 1905 , 1.11e-12 , 16.35 , - , 0.596 , 1.547 , YES , YES
293 , 2FGLJ0608.0-1521 , PMN J0608-1520 , 92.00625 , -15.34361 , 222.09 , -16.4 , 0.023 , 0.071 , FSRQ , 1.094 , LSP , 0.996 , 0.99 , 0 , 0.99 , 2.525 , -9.9 , (23.4+/-2.4) e-10 , 2.173 , 0.096 , 407 , 279 , 1.59e-13 , 20.95 , - , 0.809 , 1.076 , YES , YES
294 , 2FGLJ0609.4-0248 , NVSS J060915-024754 , 92.3125 , -2.79839 , 210.6 , -10.66 , 0.064 , 0.077 , AGU , -999 , HSP , 0 , 0.96 , 0.94 , 0 , 1.303 , 2.628 , (9.6+/-1.9) e-10 , 1.792 , 0.154 , 74 , 61 , 1.43e-12 , 17.5 , - , 0.322 , 1.465 , YES , YES
295 , 2FGLJ0611.0+4321 , B3 0607+434 , 92.77917 , 43.40131 , 169.82 , 11.54 , 0.053 , 0.118 , AGU , -999 , - , 0 , 0.95 , 0.94 , 0 , 1.028 , 2.632 , (5.3+/-1.4) e-10 , 1.954 , 0.208 , 29 , 44 , 1.69e-12 , - , - , - , - , YES , YES
296 , 2FGLJ0609.6-1847 , PMN J0610-1847 , 92.57458 , -18.79442 , 225.61 , -17.3 , 0.143 , 0.196 , BL Lac , 0 , LSP , 0.947 , 0.95 , 0.82 , 0.97 , 0.96 , 1.774 , (5.6+/-1.4) e-10 , 2.2 , 0.174 , 28 , 128 , 1.15e-12 , 17.71 , - , 0.563 , 1.326 , YES , YES
297 , 2FGLJ0612.8+4122 , B3 0609+413 , 93.21292 , 41.377 , 171.81 , 10.92 , 0.009 , 0.037 , BL Lac , 0 , - , 1 , 0.99 , 0 , 1 , 3.011 , -9.9 , (36.3+/-2.6) e-10 , 2.028 , 0.047 , 604 , 248 , - , 16.02 , - , 0.38 , - , YES , YES
298 , 2FGLJ0611.8-6059 , PKS 0609-609 , 92.62542 , -60.97678 , 270.06 , -28.39 , 0.163 , 0.132 , FSRQ , 1.775 , LSP , 0.904 , 0.91 , 0 , 0 , 1.501 , 0.789 , (5.2+/-1.2) e-10 , 2.363 , 0.158 , 44 , 350 , 3.25e-13 , 20.15 , - , 0.81 , 0.913 , YES , YES
299 , 2FGLJ0616.9+5701 , 87GB 061258.1+570222 , 94.32042 , 57.02125 , 157.42 , 18.09 , 0.044 , 0.054 , BL Lac , 0 , ISP , 0.998 , 0.99 , 0 , 0.99 , 2.822 , -9.9 , (11.6+/-1.5) e-10 , 1.895 , 0.098 , 145 , 463 , 3.34e-13 , 16.44 , - , 0.441 , 1.73 , YES , YES
300 , 2FGLJ0617.6-1716 , CRATES J061733.67-1715 , 94.39 , -17.25617 , 224.87 , -15.1 , 0.033 , 0.08 , BL Lac , 0.098 , LSP , 0.995 , 0.99 , 0 , 0.98 , 2.575 , -9.9 , (14.1+/-1.9) e-10 , 1.959 , 0.1 , 127 , 364 , 1.1e-13 , 13.15 , - , 0.202 , 2.461 , YES , YES
301 , 2FGLJ0621.9+3750 , GB6 J0621+3750 , 95.49 , 37.84906 , 175.83 , 10.93 , 0.011 , 0.091 , AGU , -999 , - , 0 , 0.97 , 0 , 0 , 1.357 , -9.9 , (18.4+/-2.3) e-10 , 1.967 , 0.161 , 231 , 43 , - , 20.11 , - , - , - , YES , YES
302 , 2FGLJ0622.9+3326 , B2 0619+33 , 95.71708 , 33.43628 , 179.93 , 9.14 , 0.026 , 0.043 , AGU , -999 , - , 0.998 , 0.99 , 0 , 0.99 , 2.688 , -9.9 , (39.7+/-2.7) e-10 , 2.126 , 0.044 , 566 , 240 , - , - , - , - , - , NO , YES
303 , 2FGLJ0625.2+4441 , GB6 J0625+4440 , 96.32583 , 44.66711 , 169.77 , 14.39 , 0.018 , 0.078 , BL Lac , 0 , - , 0.999 , 0.98 , 0 , 1 , 2.004 , -9.9 , (8.2+/-1.4) e-10 , 1.912 , 0.135 , 82 , 122 , - , 18.28 , - , 0.615 , - , YES , YES
304 , 2FGLJ0626.8-4258 , 1RXS J062635.9-425810 , 96.65167 , -42.96853 , 251.03 , -22.42 , 0.039 , 0.133 , AGU , -999 , HSP , 0 , 0.85 , 0.83 , 0 , 1.068 , 1.852 , (4.4+/-1.2) e-10 , 1.697 , 0.199 , 31 , 14 , 5.07e-13 , 18.18 , - , 0.318 , 1.313 , YES , YES
305 , 2FGLJ0627.1-3528 , PKS 0625-35 , 96.77958 , -35.48811 , 243.45 , -19.97 , 0.009 , 0.065 , Radio Galaxy , 0.055 , - , 0.998 , 1 , 0.99 , 1 , 4.24 , 4.531 , (15+/-1.8) e-10 , 1.929 , 0.088 , 174 , 2372 , 1.5e-11 , 16.99 , - , 0.678 , 1.013 , YES , YES
306 , 2FGLJ0629.3-2001 , PKS 0627-199 , 97.34875 , -19.98881 , 228.63 , -13.67 , 0.041 , 0.061 , BL Lac , 0 , - , 0.999 , 0.99 , 0 , 1 , 3.122 , -9.9 , (24.8+/-2.3) e-10 , 2.192 , 0.059 , 318 , 677 , - , 20.52 , - , 0.841 , - , YES , YES
307 , 2FGLJ0628.9-6246 , PKS 0628-627 , 97.23875 , -62.81239 , 272.4 , -26.46 , 0.042 , 0.108 , AGU , -999 , - , 0.988 , 0.98 , 0 , 0.99 , 2.733 , -9.9 , (6.3+/-1.3) e-10 , 1.871 , 0.167 , 48 , 521 , - , 20.9 , - , - , - , YES , YES
308 , 2FGLJ0630.9-2406 , TXS 0628-240 , 97.7475 , -24.11261 , 232.68 , -15 , 0.013 , 0.038 , BL Lac , 0 , HSP , 1 , 0.99 , 0.99 , 1 , 2.518 , 4.103 , (33.8+/-2.5) e-10 , 1.791 , 0.055 , 604 , 105 , 3.64e-12 , 16.47 , - , 0.389 , 1.342 , YES , YES
309 , 2FGLJ0633.8+7132 , GB6 J0636+7138 , 99.17792 , 71.64533 , 143.13 , 24.5 , 0.243 , 0.235 , AGU , -999 , LSP , 0 , 0.84 , 0 , 0 , -0.098 , 1.042 , (3.8+/-1.1) e-10 , 2.621 , 0.157 , 31 , 41 , 7.54e-13 , 19.52 , - , 0.569 , 1.122 , YES , YES
310 , 2FGLJ0635.0-2334 , CGRaBS J0634-2335 , 98.74583 , -23.58669 , 232.56 , -13.95 , 0.011 , 0.135 , FSRQ , 1.535 , - , 0.995 , 0.99 , 0 , 1 , 2.549 , -9.9 , (5.1+/-1.3) e-10 , 2.19 , 0.16 , 25 , 566 , 1.22e-13 , - , - , - , - , YES , YES
311 , 2FGLJ0635.5-7516 , PKS 0637-75 , 98.93708 , -75.27094 , 286.36 , -27.17 , 0.013 , 0.08 , FSRQ , 0.651 , - , 1 , 1 , 0 , 1 , 4.677 , -9.9 , (17.3+/-1.8) e-10 , 2.648 , 0.056 , 452 , 5283 , 4.71e-12 , - , - , - , - , YES , YES
312 , 2FGLJ0643.2+0858 , PMN J0643+0857 , 100.86 , 8.96072 , 204.04 , 2.31 , 0.049 , 0.069 , FSRQ , 0.882 , - , 0.98 , 0.99 , 0 , 0.99 , 2.812 , -9.9 , (35.5+/-3.4) e-10 , 2.491 , 0.089 , 267 , 542 , - , - , 17.85 , 0.462 , - , NO , YES
313 , 2FGLJ0644.2-6713 , PKS 0644-671 , 101.11542 , -67.21589 , 277.53 , -25.53 , 0.025 , 0.05 , AGU , -999 , - , 0.999 , 0.98 , 0 , 1 , 2.851 , -9.9 , (24.6+/-2.1) e-10 , 2.159 , 0.055 , 451 , 217 , - , 20.69 , - , 0.803 , - , YES , YES
314 , 2FGLJ0648.9+1516 , VER J0648+152 , 102.19833 , 15.27358 , 198.98 , 6.32 , 0.027 , 0.048 , BL Lac , 0.179 , HSP , 0 , 0.98 , 1 , 0 , 1.954 , 5.208 , (15.6+/-2) e-10 , 1.737 , 0.106 , 179 , 64 , 3.81e-11 , 16.53 , - , 0.28 , 1.034 , NO , YES
315 , 2FGLJ0647.7-5132 , 1RXS 064710.1-513546 , 101.79042 , -51.59697 , 261.02 , -21.58 , 0.108 , 0.141 , AGU , -999 , HSP , 0 , 0.88 , 0.98 , 0 , 1.278 , 3.706 , (3+/-1.1) e-10 , 1.545 , 0.314 , 30 , 67 , 1.95e-11 , 16.65 , - , 0.325 , 0.932 , YES , YES
316 , 2FGLJ0648.7-1739 , TXS 0646-176 , 102.11875 , -17.73475 , 228.5 , -8.62 , 0.101 , 0.108 , FSRQ , 1.232 , - , 0.988 , 0.99 , 0 , 0.98 , 2.703 , -9.9 , (13+/-2.1) e-10 , 2.295 , 0.101 , 70 , 1046 , - , 19.71 , 18.34 , 0.657 , - , NO , YES
317 , 2FGLJ0647.8-6102 , PMN J0647-6058 , 101.92042 , -60.96794 , 270.86 , -23.95 , 0.07 , 0.081 , AGU , -999 , - , 0.968 , 0.94 , 0 , 0 , 1.837 , -9.9 , (7.5+/-1.4) e-10 , 2.189 , 0.131 , 62 , 107 , - , - , - , - , - , YES , YES
318 , 2FGLJ0649.7-3138 , 1RXS 064933.8-313914 , 102.38875 , -31.65478 , 241.52 , -14.22 , 0.043 , 0.084 , AGU , -999 , HSP , 0 , 0.92 , 0.99 , 0 , 0.608 , 4.16 , (6.5+/-1.6) e-10 , 1.692 , 0.175 , 53 , 7 , 1.42e-11 , 18.82 , - , 0.282 , 0.809 , YES , YES
319 , 2FGLJ0650.7+2505 , 1ES 0647+250 , 102.69333 , 25.04986 , 190.28 , 10.99 , 0.047 , 0.044 , BL Lac , 0 , HSP , 0.999 , 0.98 , 1 , 0.81 , 1.766 , 4.848 , (17.8+/-2) e-10 , 1.595 , 0.083 , 302 , 96 , 4.23e-11 , 15.82 , - , 0.28 , 1.067 , YES , YES
320 , 2FGLJ0650.4-1632 , PKS 0648-16 , 102.60208 , -16.62778 , 227.7 , -7.72 , 0.081 , 0.181 , AGU , -999 , LSP , 0.956 , 0.99 , 0 , 1 , 3.037 , -9.9 , (8.9+/-2.1) e-10 , 2.302 , 0.123 , 28 , 1778 , 2.29e-13 , 21.46 , - , 0.863 , 1.225 , NO , YES
321 , 2FGLJ0654.5+5043 , GB6 J0654+5042 , 103.59208 , 50.70647 , 165.68 , 21.1 , 0.038 , 0.043 , FSRQ , 1.253 , LSP , 0.997 , 0.99 , 0 , 1 , 2.366 , -9.9 , (28+/-2.1) e-10 , 2.038 , 0.048 , 577 , 197 , 1.82e-13 , 15.66 , - , 0.388 , 1.801 , YES , YES
322 , 2FGLJ0653.7+2818 , NVSS J065345+282010 , 103.44042 , 28.33619 , 187.5 , 12.96 , 0.031 , 0.092 , AGU , -999 , - , 0 , 0.97 , 0 , 0 , 1.428 , -9.9 , (5.5+/-1.2) e-10 , 1.898 , 0.151 , 42 , 57 , - , - , - , - , - , YES , YES
323 , 2FGLJ0654.2+4514 , B3 0650+453 , 103.59875 , 45.23978 , 171.21 , 19.38 , 0.022 , 0.047 , FSRQ , 0.928 , LSP , 0.999 , 0.99 , 0 , 1 , 3.049 , -9.9 , (34.5+/-2.3) e-10 , 2.278 , 0.039 , 855 , 382 , 2.38e-13 , 19.62 , - , 0.774 , 1.165 , YES , YES
324 , 2FGLJ0656.2-0320 , TXS 0653-033 , 104.04625 , -3.38528 , 216.48 , -0.49 , 0.046 , 0.072 , FSRQ , 0.634 , - , 0.987 , 0.99 , 0 , 1 , 2.609 , -9.9 , (35.5+/-3.5) e-10 , 2.172 , 0.088 , 311 , 402 , - , 16.58 , - , 0.211 , - , NO , YES
325 , 2FGLJ0700.3+1710 , TXS 0657+172 , 105.00625 , 17.15617 , 198.47 , 9.57 , 0.072 , 0.159 , AGU , -999 , - , 0.988 , 0.99 , 0 , 1 , 2.397 , -9.9 , (6.5+/-1.3) e-10 , 2.501 , 0.131 , 52 , 647 , - , 17.04 , - , - , - , NO , YES
326 , 2FGLJ0706.5+7741 , NVSS J070651+774137 , 106.71333 , 77.69347 , 136.77 , 27.27 , 0.016 , 0.076 , AGU , -999 , ISP , 0 , 0 , 0 , 0.99 , -9.9 , -9.9 , (10.3+/-1.3) e-10 , 1.998 , 0.085 , 152 , 54 , 1.48e-13 , 17.75 , - , 0.382 , 1.62 , YES , YES
327 , 2FGLJ0701.7-4630 , PKS 0700-465 , 105.39292 , -46.57678 , 256.8 , -17.71 , 0.071 , 0.105 , FSRQ , 0.822 , LSP , 0.997 , 0.97 , 0.85 , 1 , 2.553 , 1.938 , (14.9+/-2) e-10 , 2.163 , 0.121 , 222 , 498 , 5.61e-13 , 19.05 , - , 0.764 , 1.044 , YES , YES
328 , 2FGLJ0700.3-6611 , PKS 0700-661 , 105.13 , -66.1795 , 276.76 , -23.77 , 0.017 , 0.037 , BL Lac , 0 , ISP , 0.999 , 0.99 , 0.96 , 1 , 3.256 , 3.048 , (39.3+/-2.5) e-10 , 2.005 , 0.043 , 831 , 288 , 7.49e-13 , 15.2 , - , 0.348 , 1.724 , YES , YES
329 , 2FGLJ0702.7-1951 , TXS 0700-197 , 105.67875 , -19.85644 , 231.92 , -6.53 , 0.008 , 0.094 , AGU , -999 , - , 0.996 , 0.99 , 0.96 , 1 , 2.806 , 2.975 , (10+/-2.1) e-10 , 1.864 , 0.117 , 44 , 527 , - , 15.46 , - , - , - , NO , YES
330 , 2FGLJ0703.1-3912 , NVSS J070312-391418 , 105.80292 , -39.23836 , 249.84 , -14.66 , 0.035 , 0.145 , AGU , -999 , ISP , 0.986 , 0.94 , 0.82 , 0.97 , 0.832 , 1.793 , (5.2+/-1.4) e-10 , 1.967 , 0.158 , 29 , 37 , 5e-13 , 17.13 , - , 0.293 , 1.61 , YES , YES
331 , 2FGLJ0706.5+3744 , GB6 J0706+3744 , 106.63167 , 37.74347 , 179.49 , 18.99 , 0.006 , 0.059 , BL Lac , 0 , HSP , 0 , 0.97 , 0.98 , 0.98 , 1.526 , 3.368 , (10.4+/-1.6) e-10 , 1.729 , 0.107 , 128 , 27 , 1.85e-12 , 17.17 , - , 0.368 , 1.304 , YES , YES
332 , 2FGLJ0706.7-4845 , PMN J0705-4847 , 106.49375 , -48.78981 , 259.25 , -17.82 , 0.138 , 0.168 , AGU , -999 , - , 0.874 , 0.91 , 0 , 0 , 1.5 , -9.9 , (8.6+/-1.5) e-10 , 2.267 , 0.111 , 72 , 190 , - , - , - , - , - , YES , YES
333 , 2FGLJ0709.0+2236 , GB6 J0708+2241 , 107.24292 , 22.69325 , 194.24 , 13.8 , 0.098 , 0.17 , AGU , -999 , HSP , 0 , 0.92 , 0.91 , 0 , 0.598 , 2.32 , (5.7+/-1.3) e-10 , 2.267 , 0.146 , 37 , 40 , 1.94e-12 , 17.47 , - , 0.361 , 1.277 , NO , YES
334 , 2FGLJ0710.5+5908 , 1H 0658+595 , 107.6275 , 59.13822 , 157.4 , 25.42 , 0.001 , 0.044 , BL Lac , 0.125 , HSP , 1 , 0.99 , 1 , 0.95 , 2.666 , 5.34 , (8.1+/-1.3) e-10 , 1.534 , 0.125 , 165 , 159 , 3.25e-11 , 14.82 , - , 0.249 , 1.162 , YES , YES
335 , 2FGLJ0710.8+4733 , S4 0707+47 , 107.69208 , 47.53642 , 169.78 , 22.76 , 0.026 , 0.161 , BL Lac , 1.292 , ISP , 0.994 , 0.99 , 0 , 0.99 , 2.822 , -9.9 , (8.3+/-1.4) e-10 , 2.486 , 0.096 , 98 , 1019 , 5.64e-13 , 14 , - , 0.331 , 1.961 , YES , YES
336 , 2FGLJ0709.3-0256 , PMN J0709-0255 , 107.4375 , -2.9215 , 217.62 , 2.73 , 0.099 , 0.139 , AGU , -999 , - , 0.931 , 0.97 , 0 , 0.99 , 1.363 , -9.9 , (13+/-2.6) e-10 , 2.698 , 0.191 , 125 , 152 , - , 19.43 , - , - , - , NO , YES
337 , 2FGLJ0712.9+5032 , GB6 J0712+5033 , 108.18208 , 50.55631 , 166.69 , 23.86 , 0.035 , 0.064 , BL Lac , 0 , LSP , 0.999 , 0.99 , 0 , 1 , 2.268 , -9.9 , (17.3+/-1.8) e-10 , 2.057 , 0.069 , 255 , 189 , 2.48e-13 , 19.16 , - , 0.684 , 1.186 , YES , YES
338 , 2FGLJ0714.0+1933 , MG2 J071354+1934 , 108.48167 , 19.58375 , 197.64 , 13.59 , 0.034 , 0.042 , FSRQ , 0.54 , LSP , 0.999 , 0.99 , 0 , 1 , 2.507 , -9.9 , (51.9+/-3) e-10 , 2.012 , 0.058 , 1305 , 219 , 1.34e-13 , 18.75 , - , 0.612 , 1.414 , YES , YES
339 , 2FGLJ0719.3+3306 , B2 0716+33 , 109.83083 , 33.11931 , 185.04 , 19.85 , 0.012 , 0.026 , FSRQ , 0.779 , LSP , 1 , 1 , 0.97 , 1 , 3.182 , 3.244 , (82.9+/-3.5) e-10 , 1.897 , 0.043 , 2726 , 226 , 6.11e-13 , 17.92 , - , 0.617 , 1.272 , YES , YES
340 , 2FGLJ0721.9+7120 , S5 0716+71 , 110.47125 , 71.3435 , 143.98 , 28.01 , 0.006 , 0.016 , BL Lac , 0 , ISP , 1 , 1 , 1 , 1 , 4.52 , 4.987 , (183+/-4.3) e-10 , 2.007 , 0.021 , 13300 , 727 , 4.91e-12 , 14.66 , - , 0.432 , 1.523 , YES , YES
341 , 2FGLJ0718.7-4320 , PMN J0718-4319 , 109.68083 , -43.33069 , 254.92 , -13.66 , 0.012 , 0.041 , BL Lac , 0 , ISP , 0.998 , 0.98 , 0.96 , 0.99 , 2.74 , 3.06 , (24.7+/-2.2) e-10 , 1.884 , 0.063 , 373 , 89 , 6.42e-13 , 17.18 , - , 0.409 , 1.456 , YES , YES
